epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,847.968,1.63194,2.99436,1.71604,0.56365,0.50389,0.4587,0.24301,1.57299,2.4,1.77968,0.000221902,0.000221902,0.000221902
2,1659.85,1.51613,2.04213,1.58533,0.7149,0.6707,0.55222,0.30355,1.60047,1.82014,1.80825,0.000422246,0.000422246,0.000422246
3,2453.8,1.47554,1.68045,1.54977,0.65867,0.56837,0.58727,0.31604,1.58504,1.38109,1.77911,0.000600579,0.000600579,0.000600579
4,3245.1,1.47024,1.4819,1.54885,0.46811,0.70724,0.60542,0.34794,1.44508,1.33116,1.67932,0.00056795,0.00056795,0.00056795
5,4031.88,1.42243,1.34034,1.51292,0.55088,0.76032,0.63964,0.35864,1.44232,1.12448,1.66131,0.000534934,0.000534934,0.000534934
6,4816.46,1.39695,1.26395,1.49491,0.61058,0.62435,0.65312,0.38267,1.43421,0.97021,1.66385,0.000501917,0.000501917,0.000501917
7,5604.9,1.36803,1.16936,1.46912,0.57207,0.63997,0.632,0.37069,1.42779,0.99946,1.68705,0.000468901,0.000468901,0.000468901
8,6519.71,1.35233,1.1355,1.46603,0.75798,0.683,0.67736,0.39291,1.41239,0.92817,1.65186,0.000435884,0.000435884,0.000435884
9,7328.8,1.35321,1.10443,1.45559,0.77904,0.66368,0.69914,0.41794,1.36809,0.89017,1.59968,0.000402868,0.000402868,0.000402868
10,8107.03,1.32425,1.06312,1.437,0.79571,0.6576,0.79193,0.48028,1.42888,0.88054,1.6292,0.000369851,0.000369851,0.000369851
11,8906.15,1.30376,0.92966,1.51788,0.74168,0.65573,0.66948,0.40888,1.33879,0.84174,1.57391,0.000336835,0.000336835,0.000336835
12,9751.76,1.27909,0.88498,1.501,0.7911,0.66499,0.73621,0.45512,1.33068,0.84184,1.58613,0.000303818,0.000303818,0.000303818
13,10602.5,1.27526,0.85711,1.48645,0.72039,0.70787,0.7361,0.44192,1.33039,0.79266,1.56166,0.000270802,0.000270802,0.000270802
14,11446.6,1.25148,0.83725,1.47714,0.71683,0.66685,0.74402,0.45423,1.32341,0.80723,1.57211,0.000237785,0.000237785,0.000237785
15,12252.3,1.2319,0.80478,1.46737,0.75162,0.67779,0.7157,0.44278,1.3542,0.7531,1.59807,0.000204769,0.000204769,0.000204769
16,13074.9,1.2191,0.79036,1.45509,0.77936,0.68595,0.79275,0.49962,1.30655,0.76244,1.55015,0.000171752,0.000171752,0.000171752
17,13935.8,1.19693,0.77657,1.43238,0.76882,0.68962,0.78067,0.4931,1.31443,0.73765,1.55948,0.000138736,0.000138736,0.000138736
18,14748.6,1.18707,0.75944,1.42962,0.76746,0.68365,0.7642,0.49298,1.28259,0.72597,1.53318,0.00010572,0.00010572,0.00010572
19,15545.4,1.1678,0.74258,1.40773,0.78995,0.69596,0.79798,0.51626,1.27518,0.70391,1.52166,7.2703e-05,7.2703e-05,7.2703e-05
20,16343.3,1.14869,0.73363,1.39694,0.77117,0.69545,0.78915,0.52967,1.27642,0.71412,1.52478,3.96865e-05,3.96865e-05,3.96865e-05
