epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.91,1.62631,2.19321,1.68514,0.15988,0.07535,0.04257,0.01213,2.97744,4.24007,2.68238,0.000475183,0.000475183,0.000475183
2,1215.57,1.5041,1.61835,1.55362,0.10561,0.10685,0.04693,0.01192,2.74309,3.60077,2.46923,0.000888716,0.000888716,0.000888716
3,1826.3,1.44649,1.42958,1.51364,0.3425,0.19598,0.18569,0.05969,2.58632,3.07636,2.19189,0.00123937,0.00123937,0.00123937
4,2436.68,1.41402,1.32076,1.48449,0.04031,0.01451,0.00684,0.00162,2.9987,4.58285,2.41079,0.00114606,0.00114606,0.00114606
5,3042.71,1.352,1.19729,1.43523,0.27872,0.11175,0.1095,0.038,2.4029,3.73104,2.1345,0.00105174,0.00105174,0.00105174
6,3642.25,1.29067,1.0176,1.43721,0.32845,0.17654,0.14829,0.04139,2.88918,3.17532,2.5619,0.00095743,0.00095743,0.00095743
7,4242.8,1.22654,0.92034,1.38794,0.09983,0.06771,0.0265,0.00871,2.61146,4.13855,2.21355,0.000863116,0.000863116,0.000863116
8,4846.28,1.17486,0.83807,1.34762,0.28008,0.13886,0.09931,0.03477,2.58715,3.58366,2.17909,0.000768802,0.000768802,0.000768802
9,5444.86,1.14247,0.795,1.31813,0.21097,0.08102,0.05196,0.01814,2.62667,3.8195,2.17944,0.000674488,0.000674488,0.000674488
10,6034.02,1.11737,0.74746,1.30157,0.22554,0.12414,0.08558,0.03107,2.48801,3.73424,2.11063,0.000580174,0.000580174,0.000580174
11,6651.24,1.08109,0.70312,1.28077,0.16774,0.10095,0.06889,0.03098,2.34269,3.94046,2.04894,0.00048586,0.00048586,0.00048586
12,7265.16,1.03655,0.66969,1.24629,0.30236,0.11676,0.10834,0.03748,2.30805,3.83908,1.96114,0.000391546,0.000391546,0.000391546
13,7872.78,0.99783,0.63312,1.2193,0.03879,0.01665,0.01114,0.0052,2.42983,4.71656,2.06844,0.000297232,0.000297232,0.000297232
14,8462.61,0.97759,0.60836,1.21027,0.04748,0.04252,0.01511,0.00581,2.52743,4.63744,2.12325,0.000202918,0.000202918,0.000202918
15,9052.46,0.94324,0.57354,1.1796,0.01208,0.14208,0.01017,0.00415,2.40185,4.69351,2.04131,0.000108604,0.000108604,0.000108604
