epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1295.65,1.47153,2.05095,1.26957,0.69223,0.66974,0.69776,0.40994,1.36525,1.41483,1.30125,0.000369836,0.000369836,0.000369836
2,2603.94,1.30551,1.23172,1.17374,0.78227,0.65377,0.73359,0.44615,1.29227,1.22379,1.26768,0.000691318,0.000691318,0.000691318
3,7664.48,1.27549,1.09085,1.1616,0.74388,0.68935,0.74292,0.45792,1.25937,1.09969,1.25432,0.000963917,0.000963917,0.000963917
4,8955.09,1.21773,1.00596,1.13924,0.81888,0.72957,0.80373,0.47942,1.2917,0.9401,1.25593,0.000891022,0.000891022,0.000891022
5,10244.3,1.18655,0.92791,1.1201,0.79227,0.73354,0.8089,0.50498,1.20125,0.90106,1.20913,0.000817696,0.000817696,0.000817696
6,11590.2,1.11361,0.81095,1.10841,0.82205,0.76395,0.83109,0.53372,1.15104,0.82482,1.17908,0.00074437,0.00074437,0.00074437
7,12938.3,1.08195,0.75468,1.09175,0.81428,0.77973,0.83519,0.55001,1.13096,0.79428,1.16088,0.000671044,0.000671044,0.000671044
8,14292.8,1.04549,0.71719,1.07666,0.83568,0.78217,0.8568,0.56715,1.10165,0.76621,1.14544,0.000597718,0.000597718,0.000597718
9,15606.3,1.01817,0.68904,1.05989,0.82607,0.80586,0.86717,0.56849,1.09624,0.72879,1.14165,0.000524392,0.000524392,0.000524392
10,16888.9,0.98993,0.65383,1.04922,0.85843,0.80847,0.87897,0.58913,1.07098,0.69656,1.12927,0.000451066,0.000451066,0.000451066
11,18161.1,0.95342,0.62276,1.02809,0.85724,0.81972,0.88569,0.60199,1.02788,0.68223,1.10863,0.00037774,0.00037774,0.00037774
12,19438.2,0.93852,0.60217,1.02391,0.86082,0.83878,0.8915,0.6098,1.0316,0.64213,1.11074,0.000304414,0.000304414,0.000304414
13,67977.2,0.91843,0.57273,1.01393,0.86895,0.8471,0.89698,0.61667,1.01728,0.62811,1.09955,0.000231088,0.000231088,0.000231088
14,101191,0.89135,0.55204,1.00285,0.88019,0.83758,0.90106,0.62309,0.98945,0.61322,1.08278,0.000157762,0.000157762,0.000157762
15,102620,0.8673,0.52951,0.98952,0.8903,0.85224,0.91087,0.63226,0.98,0.60314,1.07533,8.4436e-05,8.4436e-05,8.4436e-05
