epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,834.657,1.65553,3.48492,1.85703,0.6297,0.48982,0.44529,0.22601,1.6068,2.24468,1.8816,0.000221902,0.000221902,0.000221902
2,1651.8,1.49694,2.13297,1.66345,0.72544,0.62847,0.52553,0.28627,1.5941,1.83145,1.81137,0.000400256,0.000400256,0.000400256
3,2468.08,1.4663,1.62582,1.61788,0.59713,0.50876,0.54352,0.31068,1.40932,1.42185,1.60139,0.000534588,0.000534588,0.000534588
4,3313.78,1.4183,1.36678,1.58519,0.64588,0.5762,0.593,0.35192,1.44422,1.2068,1.622,0.000468901,0.000468901,0.000468901
5,4191.72,1.37985,1.18684,1.54801,0.67208,0.59893,0.61882,0.37315,1.38145,1.04567,1.57333,0.000402868,0.000402868,0.000402868
6,5012.65,1.35552,1.08082,1.50682,0.58288,0.63147,0.62515,0.37976,1.38554,1.00442,1.56967,0.000336835,0.000336835,0.000336835
7,5832.77,1.31639,1.01341,1.48739,0.60476,0.65601,0.64758,0.39358,1.34872,0.95069,1.53803,0.000270802,0.000270802,0.000270802
8,6631.97,1.28496,0.95253,1.45886,0.71899,0.65351,0.71993,0.40638,1.34098,0.92292,1.52808,0.000204769,0.000204769,0.000204769
9,7480.93,1.26563,0.89918,1.43546,0.77483,0.65822,0.68098,0.41108,1.33188,0.83697,1.51736,0.000138736,0.000138736,0.000138736
10,8311.2,1.22667,0.87175,1.40479,0.73546,0.69599,0.76283,0.44344,1.29522,0.85028,1.4963,7.2703e-05,7.2703e-05,7.2703e-05
